log_name,result
0002b1df68349072e648e1872ed400ad.txt,"N,{}"
00063e23f6f19d1113f3b71d728bfbfe.txt,"N,{}"
00064b66fad07acaa4f3eaf7d794c399.txt,"N,{}"
000b3065ad867584bf364514264c5996.txt,"N,{}"
000c69818be119a13ded150a27f956dd.txt,"N,{}"
000f486a358384608765d5d55a29d0c2.txt,"N,{}"
0013501c951da59412aec4965cec38cf.txt,"Y,{user's user name}"
0013b58bc3525658bd79108f9836d184.txt,"N,{}"
0018e787dd6dffbc3d0547e9d2737380.txt,"N,{}"
002412799d1a6aec364f9605cb6a13c4.txt,"N,{}"
0038ebd46f9157121fad55a999d30da0.txt,"Y,{user's email address,user's postal address}"
003b706e3bff6d61fa40940fc46c67ed.txt,"N,{}"
003d22d114e046ed2011412144858c4a.txt,"N,{}"
003f0210f693611078e2acc597def379.txt,"N,{}"
004964a9a3affb764004ea5a29cec5b3.txt,"N,{}"
004dd057df1177a6732f5882f487f395.txt,"N,{}"
004de793215c5d45874c8f3c64381c83.txt,"Y,{user's email address,user's first name,user's last name,user's telephone number}"
004ea8403b99dc1e3b27c64dd0456d96.txt,"N,{}"
005a7039383712001b1db7170c2cea62.txt,"N,{}"
005b27ed331fab85765ea977f9901834.txt,"N,{}"
005cc62ed46f23720d15292b9057735c.txt,"N,{}"
005ffbab756f559575df8f9e31be0ae3.txt,"N,{}"
00652b45534e4c9db9beeb8fcfa4ce74.txt,"Y,{user's first name,user's last name,user's email address,user's telephone number,user's postal address,user's social security number}"
00656a190b73609cde4503864835a22f.txt,"N,{}"
00657b6e65a23556be72e6797dfe3692.txt,"N,{}"
0071531cefea01947f7985b14beea460.txt,"N,{}"
00716690c2414ac9cbc34e53aa95bff8.txt,"N,{}"
008051083487d2e6cbb3c33a51dcfb93.txt,"N,{}"
00835cb4ec91b25d4a1ac7f7d0578ecc.txt,"N,{}"
008a548fd4e6a5854d8d50da73e4da4d.txt,"Y,{user's location}"
009de76cec0682b06cde6f66d112e600.txt,"Y,{user's location,user's first name,user's email address}"
00ab999b5cf7818ef1df46e5b659961a.txt,"N,{}"
00b3ed23d293ef1af2c8c4e4b1df6ea8.txt,"N,{}"
00b5cf176d017c71ce3f4619edb12fd4.txt,"N,{}"
00bb5a49786829d5a0c1031d58489d72.txt,"N,{}"
00be42f737a13153417a45e12190fcc5.txt,"N,{}"
00bfae18239439d7a207d4d3892cf239.txt,"N,{}"
00c77b9aa51455c54fcceff19211dbbf.txt,"N,{}"
00ca1a570160bc490eee86a900d2f407.txt,"N,{}"
00ccba9ff6d2580cc5c20288bbdae725.txt,"N,{}"
00d0101817c76834df7dcb31e2319e1e.txt,"N,{}"
00e1dd29d2b53e48ea4f40f1536febe4.txt,"Y,{user's location}"
00e3ae4302f1e5c9e884d14246e0f757.txt,"N,{}"
00e629279a09c930b7d2378710e89c7c.txt,"N,{}"
00fc4682b0896018acfde57774dd8e20.txt,"N,{}"
010024e240a4510d806c9104cb7f13fe.txt,"Y,{user's first name,user's last name}"
0101a46cd866a21911e2b90a3e960397.txt,"N,{}"
010272ed3a158fa1dbb84c1afc03c03f.txt,"N,{}"
0108a9def6f29bc2dcc57f6db1da9b09.txt,"N,{}"
010b8d3da6adf9ecc39795930ca26fef.txt,"N,{}"
010d3a33c7abb8097b288b39e5d8cc2d.txt,"N,{}"
0116e50de32074a8903ed6c679845bba.txt,"N,{}"
0118e4a3345f9b8ab89c7c85f1575668.txt,"N,{}"
0121d8d6d05b104bc9513bc006544b72.txt,"Y,{user's first name,user's email address,user's telephone number,user's date of birth,user's location,user's user name}"
012bebe5d7d51f38bf65dd76cad261ca.txt,"N,{}"
012f06257d2cf3babb9bf6c747088941.txt,"Y,{user's telephone number}"
0135e640b33febcd8ec8a76189c1ef05.txt,"N,{}"
013a769bf5492a6598b07ed0bbb9d1e8.txt,"N,{}"
01474310f9b57cdcb6293815a7e82e7c.txt,"N,{}"
014bccf5db884b0684bd592380cec20b.txt,"Y,{user's email address,user's telephone number,user's first name,user's location}"
014f9d222c0cee806d9177d761f5b34d.txt,"N,{}"
0159b3fd9b8e1d2c1f30fb1d03111d1d.txt,"N,{}"
015bb7d63268893be80090c03b022f4e.txt,"N,{}"
015ef44462717f98fc3285b7ebd23c88.txt,"N,{}"
01653dc31510c72d963008d568d1447f.txt,"N,{}"
01693784c993b61bc73fdda60b89391f.txt,"N,{}"
0172d9f6d98955fda08afbce2b4f8f13.txt,"Y,{user's first name,user's location}"
017a382a9b5eaa7361e1db51e339ab28.txt,"N,{}"
017cf51aa3711c2fd9caca44d6ab3cb1.txt,"N,{}"
017ea1bb341f2baeae0ff15f94cb37f9.txt,"N,{}"
017f2fa2fd2f5e71f714e08007928d52.txt,"N,{}"
01837bf7cac7481e956c698cf9db7e08.txt,"N,{}"
018425230036576242ef600a3be78195.txt,"N,{}"
018bdc03afcc0781a37184d11ff04fa5.txt,"N,{}"
0191d2b49d8b8c07a684197dba781216.txt,"N,{}"
019201da4f0a2d3e882b9f1e7132b778.txt,"N,{}"
0194a75aa2f33057bc7ded45a0ad951b.txt,"N,{}"
0199a8de331313d4d0f806973e614120.txt,"N,{}"
019a937f3ead9a0446ff54e0557f991e.txt,"N,{}"
019f101091b72fcea802a0d3fadece37.txt,"N,{}"
01a2bc0c14cc706f09e5342ec60695d3.txt,"N,{}"
